id;author;content;people;hashtags
1069713001211748353;Greenpeace_PL;"W pełni zgadzamy się ze słowami Sekretarza Generalnego ONZ, który dziś na sesji otwarcia #cop24 wezwał do podjęcia ambitnych działań na rzecz klimatu.;Greenpeace_PL,hashtag,BiznesAlert;cop24
1069708939485433856;AdamNieznaj_2;"Zameldujcie to Niemcom. Niemiecki sąd zezwolił na wycinkę starożytnego lasu. Zamiast niego kopalnia węgla!;AdamNieznaj_2,Greenpeace_PL,AndrzejDuda;
1069702859179126784;TadKapla;"Spierdalajcie  @Greenpeace_PL  do Chin Ludowych albo Rosji Putina. Właźcie na kominy komunistycznych, prymitywnych elektrowni.;TadKapla,Greenpeace_PL;
1069637881852043274;profesor_Jan;"Diesle można palić;profesor_Jan,Immanuela_Kant,Greenpeace_PL;
1069628712176496641;PStrzalkowski;"Trochę opadła mi szczęka, jak słyszałem, co  @AndrzejDuda  na #COP24 o węglu i emisjach.  Anna Ogniewska, koordynatorka kampanii Klimat i energia w  @Greenpeace_PL , też była w szoku. Jej komentarz w  @gazetapl_news;PStrzalkowski,AndrzejDuda,hashtag,Greenpeace_PL,gazetapl_news;COP24
1069538760923258881;NataliaZyto;"Przy #COP24 #Katowice działa  @Greenpeace_PL  prowadzą warsztaty, rozmowy, akcje na rzecz klimatu, otwarte dla każdego   @RadioZET_NEWS;NataliaZyto,hashtag,Greenpeace_PL,RadioZET_NEWS;COP24,Katowice
1069331790287069184;NaukaPrzyrody;"Czy polityka może wykończyć dzika? -wykład o #ASF prof. H.Okarmy z #PAN i  @JagiellonskiUni  https://buff.ly/2KNVLVj Nie depopulacja #dzik-ów ale bioasekuracja uratować może polską hodowlę świń  @MRiRW_GOV_PL   @MinSrodowiska   @WWF_Polska   @DzikieZycie   @Greenpeace_PL   @Lowiec_Polski;NaukaPrzyrody,hashtag,JagiellonskiUni,MRiRW_GOV_PL,MinSrodowiska,WWF_Polska,DzikieZycie,Greenpeace_PL,Lowiec_Polski;ASF,PAN,dzik
1069273559632093189;Greenpeace_PL;"Piękne słowa prezydenta #COP24 na otwarciu szczytu: o konieczności działania i o tym, że nie mamy planu B, więc porozumienie w kwestii klimatu jest konieczne. ALE raptem tydzień temu mówił wyraźnie, że w 2030 roku Polska wciąż będzie w ogromnej mierze polegać na węglu.;Greenpeace_PL,hashtag;COP24
1155814834337980416;Greenpeace_PL;"Już ponad 40 000 osób podpisało nasz apel: https://act.gp/plastik Myślicie, że uda nam się dociągnąć do okrągłych 50?  Spróbujmy!   Dla wszystkich cierpiących przez słomki żółwi, dla zjadających foliówki wielorybów, dla nas samych. #BezPlastiku;Greenpeace_PL,hashtag;BezPlastiku
1155499849988661249;NaukaPrzyrody;"#Wilk jako problem społeczny - o skomplikowanych relacjach Polaków z wilkami w  @gazeta_wyborcza  Od zarabiania na wilkach, po konkurencję z nimi o mięso na sprzedaż #ekologia #ochronaPrzyrody  @WWF_Polska   @Ecology_now   @RobertMaslak   @MZmihorski   @Greenpeace_PL;NaukaPrzyrody,hashtag,gazeta_wyborcza,WWF_Polska,Ecology_now,RobertMaslak,MZmihorski,Greenpeace_PL;Wilk,ekologia,ochronaPrzyrody
1155090130711003141;Greenpeace_PL;"Susza, niski stan wody w rzekach, pożary lasów - #kryzysklimatyczny dzieje się tu i teraz. Jeżeli politycy nie zaczną traktować sprawy poważnie i nie podejmą zdecydowanych kroków w kierunku odejścia od węgla, będzie tylko gorzej. #PolskaBezWęgla2030    http://obroncyklimatu.pl ;Greenpeace_PL,hashtag;kryzysklimatyczny,PolskaBezWęgla2030
646247500182102016;Dariusz_Szwed;"Pierwsza szkolna #elektrownia na #słońce uruchomiona w  @slupskpl   dzięki współpracy  @Greenpeace_PL  i   @RobertBiedron  Brawo! #fotowoltaika;Dariusz_Szwed,hashtag,slupskpl,Greenpeace_PL,RobertBiedron;elektrownia,słońce,fotowoltaika
646238000217759744;Greenpeace_PL;"Elektrownia słoneczna na dachu ZSO nr 2 w #Słupsk.u już działa i produkuje energię dla szkoły! :);Greenpeace_PL,hashtag;Słupsk
646207616843153408;Greenpeace_PL;"Już za moment otwieramy pierwszą szkolną elektrownię słoneczną w Słupsku. #oze #Słupsk #solar;Greenpeace_PL,hashtag;oze,Słupsk,solar
646051950644097024;Greenpeace_PL;"Pozdrawiamy ze Słupska :) Jutro oddajemy do użytku elektrownię słoneczną, która będzie służyć II LO im. A. Mickiewicza.;Greenpeace_PL;
645942102220775424;Greenpeace_PL;"Jeśli nie chcemy jeść samych zbóż, to lepiej chrońmy #pszczoły  #AdoptujPszczołę tutaj: http://bit.ly/adoptuj32;Greenpeace_PL,hashtag;pszczoły,AdoptujPszczołę
645922506612850688;Greenpeace_PL;"Polecamy jutrzejszą debatę online: Miasto bez samochodu? 22.09 godz. 10.00  http://chronmyklimat.pl/debata;Greenpeace_PL;
1016693307223826433;4Praying_Mantis;"To pech! Pieprznęli zamek na środku chronionego jeziora- was nie ma, Szambelan zamordował Motławę- was nie ma. Ale na ochronę  kornika co za chwilę zgładzi puszczę to jesteście. Chcą utwardzić drogę,  coby do ludzi karetka dojechała- oczywiście już sabotujecie. Nowe logo dla was:;4Praying_Mantis,Greenpeace_PL,MarekJozefiak;
1016691675522093057;Greenpeace_PL;"Zamek w Puszczy Noteckiej obnaża słabość państwa i brak polityki ekologicznej. Przeczytajcie opinię  @MarekJozefiak;Greenpeace_PL,MarekJozefiak;
1016683810480586753;DemaskatorProp;"Wymowne "milczenie" pseudoekologów z  @WWF_Polska  i  @Greenpeace_PL  ws. wycinki Puszczy Noteckiej i budowy tam gigantycznego pałacu całkowicie kompromituje te organizacje w jakichkolwiek innych sprawach. Cyniczna polityka zielonych.;DemaskatorProp,WWF_Polska,Greenpeace_PL;
1016643844916555776;NZGoebbelsa;"Hej  @Greenpeace_PL , jeśli nie wiecie jak się wykręcić z wyczekiwanej aktywności odnośnie #zamek w #Stobnica, to macie wzór od równie żałosnych kolegów z  @amnestyPL :  "Nie mamy możliwości zaangażowania się, nie mamy wglądu w sytuację i nie znamy wszystkich okoliczności";NZGoebbelsa,Greenpeace_PL,hashtag,amnestyPL;zamek,Stobnica
1016610278954471424;janek_W1;"Gdzie jest  @Greenpeace_PL  ;janek_W1,Greenpeace_PL;
907313520928227334;tvp_info;". @wPolityce_pl : dziennikarze z Czerskiej przebrali się za działaczy  @Greenpeace_PL  #wieszwiecej;tvp_info,wPolityce_pl,Greenpeace_PL,hashtag;wieszwiecej
906474837178286080;KossakM;"@KaJagiello  z  @Greenpeace_PL  - Pięć tysięcy ludzi maszerowało w obronie Puszczy. Będzie nas więcej!;KossakM,KaJagiello,Greenpeace_PL;
897802121579515905;BAwinska;"Jestem ciekawa  @Greenpeace_PL  czy wasi działacze są już na terenach dotkniętych katastrofą i pomagają w usuwaniu jej skutków?;BAwinska,Greenpeace_PL;
894081755963162624;DorotaNiedziela;"Brawo !!!!  @Greenpeace_PL  IKEA wprowadza zakaz zakupu drewna z Puszczy Białowieskiej  @Platforma_org   @NewsPlatforma;DorotaNiedziela,Greenpeace_PL,Platforma_org,NewsPlatforma;
893474925402566656;Greenpeace_PL;"Kolejny ważny głos naukowców w sprawie #PuszczaBialowieska - czy minister Szyszko w końcu go usłyszy???;Greenpeace_PL,hashtag,NaukaPrzyrody;PuszczaBialowieska
893419522404888577;Greenpeace_PL;"Trybunał Sprawiedliwości nakazał Polsce wstrzymać wywożenie starych drzew z #puszczabialowieska. Aktywiści zablokowali dzisiaj wywózkę!;Greenpeace_PL,hashtag,JakubMedek;puszczabialowieska
893406958941855744;Greenpeace_PL;"Halo  @WoodstockPoland  o 12 pod Dużą Sceną robimy Obraz Ludzi dla #puszczabialowieska  Widzimy się wszyscy!;Greenpeace_PL,WoodstockPoland,hashtag;puszczabialowieska
893394197855825921;Greenpeace_PL;"Czy nadleśniczy wycofa harwestery z #puszczabialowieska? Jako funkcjonariusz publiczny, musi działać zgodnie z postanowieniem Trybunału;Greenpeace_PL,hashtag;puszczabialowieska
893383279986049026;Greenpeace_PL;"PILNE: Aktywiści z Obozu dla Puszczy blokują wywóz drzew z #PuszczaBiałowieska Przypominamy: #TSUE zakazał usuwania drzew ponadstuletnich.;Greenpeace_PL,hashtag;PuszczaBiałowieska,TSUE
893116227446611968;Greenpeace_PL;"Oburzające tłumaczenie wycinki w #puszczabialowieska przez  @MinSrodowiska . Tych cięć nie można usprawiedliwić względami bezpieczeństwa!;Greenpeace_PL,hashtag,MinSrodowiska;puszczabialowieska
892838952465555457;Greenpeace_PL;"Komisja Europejska ostrzega Polskę. Musimy realizować wydany przez #TSUE zakaz wycinki w #PuszczaBiałowieska! #kochampuszcze;Greenpeace_PL,hashtag;TSUE,PuszczaBiałowieska,kochampuszcze
892744131440758784;Greenpeace_PL;"często niszczymy przyrodę bez zrozumienia, co tracimy - musimy mieć pokorę wobec dzikości -  @KaJagiello  na #Woodstock2017;Greenpeace_PL,KaJagiello,hashtag;Woodstock2017
892743850762149892;Greenpeace_PL;"o #puszczabialowieska, owadach, starych drzewach, łąkach w mieście - Kasia Jagiełło, Paulina Kramarz i ich #DzikośćSerca na #Woodstock2017;Greenpeace_PL,hashtag;puszczabialowieska,DzikośćSerca,Woodstock2017
938817850583724032;Greenpeace_PL;"Dzieci zasługują na #czystepowietrze. Zamiast niego dostają #uwagasmog. Ile jeszcze mamy czekać aż #Tchórzewski spełni obietnicę? http://uwagasmog.pl;Greenpeace_PL,hashtag;czystepowietrze,uwagasmog,Tchórzewski
938815488813092865;Greenpeace_PL;"Tu była #Noteć. @MinSrod przyznaje, że zniknęła przez #odkrywki. Ale kosztami mamy być obciążeni wszyscy, nie firma #PAK http://bit.ly/2AkJpSK;Greenpeace_PL,hashtag;Noteć,odkrywki,PAK
938724513021349889;Greenpeace_PL;"Dzisiaj  @MinEnergii  jest już spóźnione 251 dni. Jak długo będziemy jeszcze czekać na normy jakości węgla? To kwestia zdrowia i bezpieczeństwa dzieci. #uwagasmog http://uwagasmog.pl;Greenpeace_PL,MinEnergii,hashtag;uwagasmog
938380285724512256;Greenpeace_PL;"Polskie przedszkola w smogu: zobacz raport na http://uwagasmog.pl;Greenpeace_PL;
938365549612097536;Greenpeace_PL;"Już 250 dni spóźnienia - wbrew obietnicom, wciąż nie mamy norm jakości węgla. Największą cenę płacą dzieci #uwagasmog;Greenpeace_PL,hashtag;uwagasmog
938343474729975808;Greenpeace_PL;"Dzieci zagrożone przez #uwagasmog: rodzice i nauczyciele mogą chronić je doraźnie, ale potrzebujemy rozwiązań systemowych. Normy jakości węgla to pierwszy krok, już czas  @MinEnergii !;Greenpeace_PL,hashtag,MinEnergii;uwagasmog
938341893162852352;Greenpeace_PL;"Smog najbardziej uderza w najsłabszych. Ponad 60% przedszkoli znajduje się w miejscach, w których powietrze nie spełnia  norm jakości powietrza. #uwagasmog;Greenpeace_PL,hashtag;uwagasmog
935935829779808258;WitoldGlowacki;"Naprawdę szczerze podziwiam ludzi, którzy od miesięcy, wytrwale, narażając się, walczą o Puszczę Białowieską. To jest prawdziwy patriotyzm.  @DlaPuszczy   @Greenpeace_PL;WitoldGlowacki,DlaPuszczy,Greenpeace_PL;
935925507803287552;MZmihorski;"Jestem w #puszczabialowieska. Mega-dewastacja! Ale dzielni, pracowici ludzie  @DlaPuszczy   @Greenpeace_PL  robią super robotę, byłem u nich długo. Jak możecie, pomóżcie im wytrwać https://pomagam.pl/dlapuszczy   @ilonadarmach   @JakubMedek   @don_imba   @WitoldGlowacki   @Anna_Mierzynska;MZmihorski,hashtag,DlaPuszczy,Greenpeace_PL,ilonadarmach,JakubMedek,don_imba,WitoldGlowacki,Anna_Mierzynska;puszczabialowieska
935532224287592448;Greenpeace_PL;"Okolice Wilczej Tryby w Nadleśnictwie Białowieża to symbl tego, jakie spustoszenie sieje decyzja Jana Szyszki w #PuszczaBiałowieska. Raport patroli GP,  @DlaPuszczy   #DzikaPolska: http://act.gp/raport_wilcza;Greenpeace_PL,hashtag,DlaPuszczy;PuszczaBiałowieska,DzikaPolska
923101306214080512;oko_press;"Za wiedza i zgodą Generalnej Dyrekcji Ochrony Środowiska organizuje się na żubra komercyjne polowania - udowodnił  @Greenpeace_PL .;oko_press,Greenpeace_PL;
466213627784351744;Greenpeace_PL;"Tworzymy rój pszczelich bohaterek i bohaterów. Dołącz! Pobierz poradnik http://greenpeace.pl/projekt_pszczola…  i chroń #pszczoły :);Greenpeace_PL,hashtag;pszczoły
465184947364704257;Greenpeace_PL;"Warszawskie ulice należały dziś do pszczół #SaveTheBees #bees Jak pomóc pszczołom? http://greenpeace.pl/projekt_pszczola/…;Greenpeace_PL,hashtag;SaveTheBees,bees
461791986970685440;Greenpeace_PL;"Trwa blokada pierwszego transportu arktycznej ropy. Na miejscu jest Tomek Dziemianczuk  @jarekkuzniar   #NoArcticOil;Greenpeace_PL,JarekKuzniar,hashtag;NoArcticOil
461787813311426560;Greenpeace_PL;"Trwa blokada transportu arktycznej ropy. W akcji biorą udział Polacy. Wśród nich Tomasz Dziemianczuk.   @PAPinformacje;Greenpeace_PL,PAPinformacje;
460833143831142400;Greenpeace_PL;"Statek  @gp_warrior  wyruszył na spotkanie rosyjskiego tankowca 'Mikhail Ulyanov przewożącego pierwszy transport ropy z Arktyki #uratujarktyke;Greenpeace_PL,gp_warrior,hashtag;uratujarktyke
460694998263267328;Greenpeace_PL;"Rój pszczelich bohaterów nieustannie rośnie. Dołącz! Podaj dalej! :) http://youtube.com/watch?v=fBlKeU9basc… http://greenpeace.pl/projekt_pszczola…;Greenpeace_PL;
459273897935142912;Greenpeace_PL;"Tak jak obiecaliśmy, złożyliśmy dziś skargę na program jądrowy. http://greenpeace.org/poland/pl/wydarzenia/polska/Greenpeace-zlozyl-skarge-na-Program-polskiej-energetyki-jadrowej/… #energtyka #energia  @PremierRP   @PremierRP;Greenpeace_PL,hashtag,PremierRP;energtyka,energia
458905358065340416;Gazoski;"Zostań pszczelim bohaterem/bohaterką! Pobierz poradnik  @Greenpeace_PL  "Projekt: pszczoła" i dowiedz się, jak: http://bit.ly/1jD9Yki;Gazoski,Greenpeace_PL;
456016808663728128;Greenpeace_PL;"Dołącz do roju pszczelich bohaterów! Pobierz poradnik "Projekt: pszczoła" - http://greenpeace.pl/projekt_pszczola…;Greenpeace_PL;
454267857820348416;Greenpeace_PL;"Rozpoczęliśmy dziś sezon budowy 100 hoteli dla dzikich zapylaczy! Pierwszy stanął na warszawskiej Kępie Potockiej :);Greenpeace_PL;
453461033122664448;Greenpeace_PL;"Projekt ustawy #OZE = koncerny energetyczne zarobią na obywatelach-producentach energii.;Greenpeace_PL,hashtag;OZE
917270692042862592;NaukaPrzyrody;"Las Bawarski: historia prawdziwa, czyli sukces biernej #ochronaPrzyrody https://buff.ly/2y3r5LG #kochamPuszcze   @WWF_Polska   @Greenpeace_PL;NaukaPrzyrody,hashtag,WWF_Polska,Greenpeace_PL;ochronaPrzyrody,kochamPuszcze
915877280118902785;Greenpeace_PL;"1..2..3...4....ponad 27 tysięcy pszczół uszczęśliwionych dzięki #adoptujpszczole A następne już stoją w kolejce! https://adoptujpszczole.pl/?tt&fundraiser=adoptuj2…;Greenpeace_PL,hashtag;adoptujpszczole
915654850616152066;Greenpeace_PL;"#Pszczoły wszędzie! Nawet  @PalacKultury  postanowił przywdziać eleganckie paski na pszczele święto #adoptujpszczle http://adoptujpszczole.pl;Greenpeace_PL,hashtag,PalacKultury;Pszczoły,adoptujpszczle
915628488345997312;Greenpeace_PL;"Jest okrągłe 20 000, co za wynik! #adoptujpszczole idzie jak burza!;Greenpeace_PL,hashtag;adoptujpszczole
915572395045515266;Greenpeace_PL;"Chwila nieuwagi i przekroczyliśmy 16 tysięcy! A to oznacza... kolejne szczęśliwe pszczoły :) #adoptujpszczole tu: http://bit.ly/2xRQfgw;Greenpeace_PL,hashtag;adoptujpszczole
688692341645815808;Greenpeace_PL;""Nie tnijmy puszczy, zostawmy naturze wolną rękę", apelują biolodzy z Wydziału Bologii UW http://wyborcza.pl/1,75400,19479088,nie-tnijmy-puszczy-zostawmy-naturze-wolna-reke-apeluja-biologowie.html…;Greenpeace_PL;
688660292482433024;Greenpeace_PL;"W ciągu 4 dni już ponad 40 tys. osób podpisało się pod petycją kochampuszcze.pl :) Naprawdę kochacie Puszczę! ;Greenpeace_PL;
688318527531528193;KaJagiello;"#KochamPuszcze ktora pieknie, naturalnie sie odnawia po poprzednie gradacji kornika  @Greenpeace_PL;KaJagiello,hashtag,Greenpeace_PL;KochamPuszcze
688005095078912000;Greenpeace_PL;"No dobra, przyznajemy, że #koty są mistrzami #selfie. Ale trenujemy, by im dorównać ;) http://boredpanda.com/manny-cat-takes-selfies-dogs-gopro/…;Greenpeace_PL,hashtag;koty,selfie
1016563461730553856;malyy5;"No i teraz sobie wyobraźmy,że podczas osuszania jeziora zamordowano 99% życia w tym jeziorze i jak to ma się do wojny o kornika drukarza?.Jakie standardy reprezentują 1.ekolodzy np z  @Greenpeace_PL  i inni oraz 2.jakie standardy reprezentują dziennikarze ,którzy to zataili.;malyy5,Greenpeace_PL,10murzynkow;
1016453629685968896;lostson_;"Zauważyłeś może, że ekolodzy m in z  @Greenpeace_PL  nabrali też wody w usta w zw. z chemicznym skażeniem dna Bałtyku przez budowę NORD STREAM 2?;lostson_,Greenpeace_PL;
1015983691523293184;10murzynkow;"hej,  @Greenpeace_PL   @gazetapl_news   @FAKT24PL   @OnetWiadomosci   @wirtualnapolska   @TygodnikWPROST   @Interia_Fakty  Widzieliście jaki pałać buduje sobie minister Szyszko w Puszczy Białowieskiej??;10murzynkow,Greenpeace_PL,gazetapl_news,FAKT24PL,OnetWiadomosci,wirtualnapolska,TygodnikWPROST,Interia_Fakty;
1015953609530466304;pikus_pol;"#Stobnica  Hej  @Greenpeace_PL  - Te dwie fotki analizowaliście???;pikus_pol,hashtag,Greenpeace_PL;Stobnica
1015941147242434560;_Frau_Herta_;"Gdzie jesteście  @Greenpeace_PL  &  @Zieloni ?  W środku Puszczy Noteckiej na jeziorze została usypana sztuczna wyspa! Wycięto las! Rzadkie gatunki ptaków, żab, straciły swoje środowisko naturalne! Ekosystem został zagrożony!  Hałas!  Alarmowaliście  @MinSrodowiska ?  zdj.G.Sanik;_Frau_Herta_,Greenpeace_PL,Zieloni,MinSrodowiska;
1034765411311656961;Greenpeace_PL;"Rząd Kanady podjął decyzję o wycofaniu z użytku pestycydów z grupy neonikotynoidów. Jest to reakcja na postępujący spadek liczebności populacji pszczół. #neonikotynoidy #pszczoły #zapylacze;Greenpeace_PL,hashtag;neonikotynoidy,pszczoły,zapylacze
1034151805326970880;Greenpeace_PL;"W samej Polsce zużywa się i wyrzuca codziennie ponad 3 mln słomek dziennie. #Poproszębezsłomki #tupijeszbezslomki #lesswaste #zerowaste   https://youtu.be/jiX5-Z8C5BI przez  @YouTube;Greenpeace_PL,hashtag,YouTube;Poproszębezsłomki,tupijeszbezslomki,lesswaste,zerowaste
1033814603237662721;JJPiszcza;"Odrobina pragmatyzmu w podwarszawskim lesie. Klucz to prosty przekaz dostosowywany do odbiorcy    @Greenpeace_PL   @WWFPoland   @MarekJozefiak  Śmieci nie było ;JJPiszcza,Greenpeace_PL,WWFPoland,MarekJozefiak;
1032997692178345985;DzikieZycie;"Mamy dla Was prezent na nasze 25-lecie - specjalny numer Dzikiego, letnio-jesienny, wystarczy tylko pobrać https://bit.ly/2NckK5a W środku ważne teksty i wywiady z naszego pisma z różnych lat  @Greenpeace_PL   @WWF_Polska   @PrzyrodaKarpat   @DzikieK   @NaukaPrzyrody   @Radio_TOK_FM  ;DzikieZycie,Greenpeace_PL,WWF_Polska,PrzyrodaKarpat,DzikieK,NaukaPrzyrody,Radio_TOK_FM;
1032993578161721344;Greenpeace_PL;"Nasze wspólne działanie sprawiło, że  @MinEnergii  wydłużyło absurdalnie krótki czas #konsultacje rozporządzenia o normach jakości węgla! Dajcie znak ministerstwu, że nie chcemy promocji #smog.u. Nasze uwagi do bardzo złego rozporządzenia tutaj: https://act.gp/2o7gp8g #węgiel;Greenpeace_PL,MinEnergii,hashtag;konsultacje,smog,węgiel
1032951771109441537;Greenpeace_PL;"Rekordowa fala upałów w przyszłości może stać się normą #zmianaklimatu #klimat;Greenpeace_PL,hashtag;zmianaklimatu,klimat
1032922478429974528;Greenpeace_PL;"Pseudonauka to nie #wolnośćsłowa. Czy naprawdę Polska chce zaprosić klimatycznych denialistów na #COP24? #Zmianyklimatu to #fakt!;Greenpeace_PL,hashtag;wolnośćsłowa,COP24,Zmianyklimatu,fakt
1032531725992243202;PrzyrodaKarpat;"#Sukces Dzięki zebranym w ramach zbiórki środkom i wsparciu  @Greenpeace_PL  przekazaliśmy 6 zestawów ogrodzeń bieszczadzkim pszczelarzom #dlaludzi #dlaniedźwiedzi  @AnnaSarzynska   @bweglarczyk   @NaukaPrzyrody   @naukawpolsce   @KaJagiello   @MZmihorski   @RobertMaslak  http://przyrodnicze.org/pomoglismy-bieszczadzkim-niedzwiedziom-i-pszczelarzom/…;PrzyrodaKarpat,hashtag,Greenpeace_PL,AnnaSarzynska,bweglarczyk,NaukaPrzyrody,naukawpolsce,KaJagiello,MZmihorski,RobertMaslak;Sukces,dlaludzi,dlaniedźwiedzi
